,PLAN,AVANCE_CARRERA,ACCESO,SUBACCESO,CONVOCATORIA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PBM_CALCULADO,ESTRATO,MUNICIPIO_RESIDENCIA,PROVINCIA_NACIMIENTO,MUNICIPIO_NACIMIENTO,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
10,GESTIÓN CULTURAL Y COMUNICATIVA,67.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.3,13,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
11,GESTIÓN CULTURAL Y COMUNICATIVA,55.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,3.7,4,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
12,INGENIERÍA BIOLÓGICA,75.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,TARJETA IDENTIDAD,HOMBRE,22,10.0,4.6,28,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
13,INGENIERÍA BIOLÓGICA,75.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,4.0,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
14,ESTADÍSTICA,83.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,26,10.0,4.4,3,1,PUEBLO BELLO,CESAR,PUEBLO BELLO,COLOMBIA,NO,NO,Plantel Privado,
15,BIOLOGÍA,76.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,3.9,35,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
16,GEOGRAFÍA,82.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,4.3,8,2,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
17,GEOGRAFÍA,73.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,23,9.0,4.2,4,1,,NORTE DE SANTANDER,EL CARMEN,COLOMBIA,NO,NO,Plantel Oficial,
18,GEOGRAFÍA,91.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.2,1,1,LA PAZ,CESAR,EL PASO,COLOMBIA,NO,NO,Plantel Oficial,
19,INGENIERÍA BIOLÓGICA,72.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,3.8,5,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
20,BIOLOGÍA,78.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.2,26,4,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
21,INGENIERÍA MECATRÓNICA,75.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.0,2,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
22,INGENIERÍA BIOLÓGICA,28.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,8.0,3.2,19,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
23,GEOGRAFÍA,93.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,28,9.0,4.2,2,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
24,GESTIÓN CULTURAL Y COMUNICATIVA,53.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,9.0,3.9,3,1,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
25,BIOLOGÍA,65.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,3.8,3,1,LA PAZ,CESAR,CHIMICHAGUA,COLOMBIA,NO,NO,Plantel Oficial,
26,ESTADÍSTICA,85.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,3.9,1,1,AGUSTÍN CODAZZI,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,
27,GESTIÓN CULTURAL Y COMUNICATIVA,68.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,TARJETA IDENTIDAD,MUJER,21,9.0,4.2,26,3,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,
28,INGENIERÍA MECATRÓNICA,79.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,32,9.0,4.1,11,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
29,ESTADÍSTICA,45.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,3.7,5,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
30,ESTADÍSTICA,51.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,3.5,28,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
31,INGENIERÍA MECATRÓNICA,58.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,4.2,6,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
32,ESTADÍSTICA,63.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,22,9.0,3.8,1,1,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,
33,INGENIERÍA MECATRÓNICA,62.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.7,8,2,,CALDAS,MANIZALES,COLOMBIA,NO,NO,Plantel Oficial,
34,INGENIERÍA BIOLÓGICA,72.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.2,10,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
35,GEOGRAFÍA,68.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,28,9.0,4.2,2,1,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
36,GESTIÓN CULTURAL Y COMUNICATIVA,85.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,32,10.0,4.5,1,0,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
37,INGENIERÍA MECATRÓNICA,53.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,3.8,7,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
38,INGENIERÍA BIOLÓGICA,54.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,28,10.0,3.4,4,1,VALLEDUPAR,LA GUAJIRA,URUMITA,COLOMBIA,NO,NO,Plantel Oficial,
39,BIOLOGÍA,62.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,27,10.0,4.4,6,0,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
40,GEOGRAFÍA,76.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,22,9.0,4.1,15,3,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
41,INGENIERÍA MECATRÓNICA,62.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,4.0,2,1,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
42,GESTIÓN CULTURAL Y COMUNICATIVA,75.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.3,21,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
43,INGENIERÍA BIOLÓGICA,32.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,3.8,48,1,,MAGDALENA,PIJIÑO DEL CARMEN,COLOMBIA,NO,NO,Plantel Privado,595.87
44,BIOLOGÍA,26.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,TARJETA IDENTIDAD,HOMBRE,18,5.0,3.5,22,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,496.87
45,BIOLOGÍA,20.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,30,5.0,3.3,4,2,VILLANUEVA,LA GUAJIRA,VILLANUEVA,COLOMBIA,NO,NO,Plantel Oficial,390.72
46,ESTADÍSTICA,23.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,3.6,4,2,VALLEDUPAR,MAGDALENA,PIJIÑO DEL CARMEN,COLOMBIA,NO,NO,Plantel Oficial,360.82
47,INGENIERÍA BIOLÓGICA,24.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,20,5.0,3.5,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,484.03
48,INGENIERÍA BIOLÓGICA,20.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,18,5.0,3.5,7,2,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,590.07
49,BIOLOGÍA,24.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,18,5.0,3.7,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,435.09
50,GEOGRAFÍA,34.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,21,5.0,4.2,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,328.65
51,GEOGRAFÍA,31.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,4.0,1,1,MANAURE BALCÓN DEL CESAR,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,407.83
52,GEOGRAFÍA,31.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,3.7,33,7,,CESAR,GONZÁLEZ,COLOMBIA,NO,NO,Plantel Oficial,375.2
53,BIOLOGÍA,24.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,3.6,5,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,423.23
54,GEOGRAFÍA,29.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,35,5.0,4.0,2,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,418.22
55,GESTIÓN CULTURAL Y COMUNICATIVA,16.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,TARJETA IDENTIDAD,HOMBRE,20,5.0,3.2,1,1,LA PAZ,CESAR,BOSCONIA,COLOMBIA,NO,NO,Plantel Oficial,451.01
56,GESTIÓN CULTURAL Y COMUNICATIVA,22.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,3.5,10,1,VALLEDUPAR,MAGDALENA,ARIGUANÍ,COLOMBIA,NO,NO,Plantel Oficial,437.04
57,BIOLOGÍA,28.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,3.8,1,1,SAN DIEGO,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,389.2
58,INGENIERÍA BIOLÓGICA,9.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,3.1,2,1,,CESAR,CHIMICHAGUA,COLOMBIA,NO,NO,Nocturno,417.99
59,GESTIÓN CULTURAL Y COMUNICATIVA,26.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,3.9,38,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,395.34
60,GEOGRAFÍA,34.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,4.0,1,1,,CUNDINAMARCA,TOCANCIPÁ,COLOMBIA,NO,NO,Plantel Oficial,453.07
61,INGENIERÍA BIOLÓGICA,67.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.2,7,1,,MAGDALENA,ARIGUANÍ,COLOMBIA,NO,NO,Plantel Privado,544.78
62,GESTIÓN CULTURAL Y COMUNICATIVA,50.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,MUJER,21,7.0,4.2,34,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,548.65
63,ESTADÍSTICA,56.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,MUJER,19,7.0,4.3,5,0,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,483.53
64,INGENIERÍA MECATRÓNICA,45.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,3.9,5,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,604.92
65,ESTADÍSTICA,45.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,3.8,6,2,,MAGDALENA,EL BANCO,COLOMBIA,NO,NO,Plantel Oficial,454.71
66,BIOLOGÍA,34.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,MUJER,23,7.0,4.1,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,470.69
67,ESTADÍSTICA,35.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,MUJER,24,7.0,3.5,5,2,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,340.64
68,ESTADÍSTICA,56.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,HOMBRE,22,7.0,4.1,2,1,CURUMANÍ,CESAR,CURUMANÍ,COLOMBIA,NO,NO,Plantel Oficial,311.69
69,GESTIÓN CULTURAL Y COMUNICATIVA,48.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-1S,NUMERO DE CEDULA,MUJER,22,7.0,4.2,13,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,490.0
